76561198072431907~,~1.5970298051834106
76561199003505371~,~1.5249048471450806
76561198911908608~,~0.7486366033554077
76561198362923485~,~1.7453484535217285
76561198801631622~,~1.8387951850891113
2542~,~1.7293334007263184
76561198014365525~,~1.870679497718811
76561198166289091~,~2.066406726837158
76561197995162898~,~1.6443963050842285
76561198427751585~,~1.7394992113113403
76561198153101808~,~1.626198172569275
76561198084634262~,~1.4983640909194946
76561198148209170~,~1.8950096368789673
76561198964267559~,~1.6688185930252075
76561199232927859~,~0.0
76561198441139809~,~1.553676724433899
76561198101647485~,~1.543458104133606
76561198877584182~,~1.9649724960327148
76561198366737508~,~1.8666715621948242
76561198126686400~,~1.3847769498825073
76561198355355471~,~1.517553448677063
76561198301082541~,~1.6895893812179565
76561198044562405~,~1.6638062000274658
76561198178294718~,~1.7548985481262207
76561198265797114~,~0.0
76561199104905554~,~1.8506392240524292
76561198089913211~,~1.7787775993347168
76561198286832326~,~1.7118911743164062
76561198848329343~,~1.8003652095794678
76561198338930975~,~1.7841445207595825
76561198825761961~,~1.4194965362548828
76561198094455550~,~1.799739956855774
76561199041218279~,~1.852873682975769
76561198082797048~,~1.704742670059204
76561198228495108~,~1.5965081453323364
76561198146815165~,~1.7010289430618286
76561198993921362~,~2.0020768642425537
76561198180571666~,~1.4168590307235718
76561198166811087~,~1.133271336555481
76561198118728813~,~2.1032581329345703
76561198256479099~,~1.8866056203842163
76561198178432854~,~1.806702971458435
76561198345487959~,~1.3359003067016602
76561198808157445~,~1.7256627082824707
76561198143262090~,~2.1252100467681885
76561198073124986~,~1.1804450750350952
76561198181886967~,~1.831211805343628
76561198152468561~,~1.4287887811660767
76561198294659898~,~0.7409133315086365
76561198842731461~,~0.5369883179664612
76561199001767132~,~1.5528925657272339
76561198063012680~,~1.8813042640686035
76561198204804992~,~1.9537980556488037
76561199074849863~,~1.6116913557052612
76561198824799100~,~0.0
76561198247959516~,~1.6138375997543335
76561198178820185~,~1.7733829021453857
76561198375279971~,~1.7645777463912964
76561198202676664~,~1.626824975013733
76561198021416795~,~1.2992969751358032
76561198877464067~,~1.647232174873352
76561198079942161~,~1.1134518384933472
76561198975779715~,~0.0
76561198128883308~,~1.4992825984954834
76561198199836170~,~1.5406488180160522
76561198033044666~,~1.8827918767929077
76561198980152955~,~1.473703384399414
76561198317122281~,~1.7587262392044067
76561198058249957~,~1.959481954574585
76561198267730787~,~1.3932304382324219
76561198197958478~,~1.5837398767471313
76561198881870682~,~1.4541034698486328
76561199020126980~,~1.7293708324432373
76561198324484050~,~0.0
150~,~0.8361892700195312
76561198081212902~,~1.6524853706359863
76561198004531900~,~1.740895390510559
1422~,~1.0331482887268066
76561198846717696~,~1.702187180519104
76561198304343617~,~0.0
1426~,~1.7246237993240356
210~,~1.7134685516357422
76561198365120956~,~1.333100438117981
76561198801790446~,~1.6634979248046875
76561198830502286~,~1.7242144346237183
76561198089604726~,~1.6675081253051758
76561198072438469~,~1.6298569440841675
76561198993744552~,~1.673813819885254
76561198241145306~,~1.7400137186050415
76561198417204770~,~1.8209398984909058
76561198400835990~,~1.9633370637893677
76561199019559202~,~1.8484197854995728
1995~,~1.6742222309112549
76561198119042777~,~0.0
76561198278902434~,~1.7473363876342773
76561198818187344~,~1.610960602760315
76561199093197457~,~1.451217770576477
9~,~1.8739298582077026
76561198080247613~,~1.7366541624069214
76561199211080602~,~1.4319779872894287
76561199189470008~,~0.0
76561198012811563~,~1.5468933582305908
76561198279874039~,~1.7318003177642822
76561198161610392~,~1.654079794883728
76561198108258623~,~1.3413721323013306
76561198003403957~,~1.621846079826355
76561198259310417~,~1.7820366621017456
76561198111311691~,~1.6435050964355469
76561198040738399~,~1.7363287210464478
76561198193967575~,~1.7132389545440674
76561198082546668~,~1.554573655128479
76561198069899344~,~1.6574673652648926
76561198143702521~,~1.5461877584457397
76561198059961776~,~1.7177311182022095
76561199230141075~,~1.406262755393982
76561198149169128~,~0.0
76561198151825827~,~1.6206121444702148
2789~,~0.652045726776123
76561198192889625~,~1.9556965827941895
1604~,~1.2908878326416016
76561199121923459~,~0.0
714~,~1.7819583415985107
76561198264923691~,~1.214445948600769
953~,~0.7546798586845398
