76561198410971373~,~1.8320523500442505
76561198960449289~,~1.8351644277572632
76561198153101808~,~1.585138201713562
76561198313983208~,~1.656862735748291
76561198404774259~,~1.803990364074707
76561199003505371~,~1.4970422983169556
76561198102724001~,~1.5113409757614136
76561198145281261~,~1.8312023878097534
76561198108275916~,~1.7600995302200317
76561198427751585~,~1.796389102935791
76561198376989801~,~1.7006947994232178
76561198167372371~,~1.5205628871917725
76561198316367811~,~0.0
76561198200744503~,~1.4532687664031982
76561198120664513~,~1.9616234302520752
76561198072431907~,~1.6010547876358032
76561198848329343~,~1.7665103673934937
76561198166289091~,~2.066406726837158
76561198101647485~,~1.5291050672531128
76561199003586234~,~1.8593436479568481
76561198094455550~,~1.8598474264144897
76561198301082541~,~1.6895893812179565
76561198965353139~,~1.9524022340774536
76561198362923485~,~1.7453484535217285
76561198331589800~,~0.0
76561198983627346~,~1.9602025747299194
76561198991576823~,~1.7112611532211304
76561199017330732~,~1.5253145694732666
76561198355355471~,~1.6455281972885132
76561198445060816~,~1.5747005939483643
76561197995162898~,~1.6443963050842285
76561198286832326~,~1.7118911743164062
76561198366737508~,~1.8666715621948242
76561198066682244~,~1.397226333618164
76561198294659898~,~0.7409133315086365
76561199080950125~,~0.0
76561198025451538~,~1.7538559436798096
76561198073124986~,~1.1804450750350952
76561198180571666~,~1.5597412586212158
76561198238942706~,~1.4374642372131348
76561198975779715~,~0.0
76561198089913211~,~1.800079345703125
76561198808157445~,~1.7256627082824707
76561198872022149~,~1.7200194597244263
76561198178432854~,~1.7776329517364502
76561198128883308~,~1.48464834690094
76561199024801544~,~1.3520344495773315
76561198181886967~,~1.831211805343628
76561198143262090~,~2.1011929512023926
76561198243088790~,~1.6232136487960815
76561199221238706~,~0.0
76561198425648946~,~1.5440762042999268
76561198199836170~,~1.4786924123764038
76561198165417185~,~1.593955397605896
76561198235823594~,~1.5035556554794312
76561198438681935~,~1.6943256855010986
76561198139722863~,~1.7184746265411377
76561198158199188~,~1.677209496498108
76561198428168219~,~1.6912063360214233
76561199229531540~,~1.5580368041992188
76561198093028672~,~0.9987550377845764
76561198199893013~,~0.0
76561198004531900~,~2.0552451610565186
76561198132787298~,~1.538636326789856
76561198858351567~,~1.2176947593688965
76561198381299346~,~1.718518614768982
76561198365120956~,~1.4308390617370605
76561199001767132~,~1.5471214056015015
76561198256479099~,~1.7012025117874146
76561199098239589~,~1.7715485095977783
76561198054868185~,~1.6607859134674072
76561198005851277~,~1.5787690877914429
76561198081152434~,~1.6909408569335938
76561198080247613~,~1.7471985816955566
76561198400835990~,~2.022308826446533
76561199074849863~,~1.6116913557052612
76561198160636106~,~2.1589763164520264
76561197977946759~,~1.6693490743637085
76561198065351707~,~1.802747368812561
76561198192897755~,~0.0
76561199063507635~,~1.7921233177185059
76561198297861230~,~1.8419215679168701
76561198948043800~,~1.711685061454773
76561198082139630~,~0.0
76561198067592034~,~1.7731789350509644
76561198178294718~,~1.7785208225250244
76561198119943369~,~1.5355278253555298
953~,~0.9737432599067688
76561198830502286~,~1.6754566431045532
76561198284551879~,~1.809604525566101
9~,~1.8739298582077026
76561199033287640~,~1.7309712171554565
76561198873057108~,~0.0
408~,~1.247131586074829
76561198162684498~,~1.062612771987915
76561198991999238~,~1.6022244691848755
76561198845720823~,~1.7058757543563843
76561198055957993~,~1.6505792140960693
76561198066283513~,~1.6855043172836304
76561198325198406~,~1.509232997894287
76561198134718105~,~1.2740181684494019
76561198288425074~,~1.7316005229949951
76561198264187228~,~1.4444328546524048
3512~,~0.0
76561199135640278~,~0.9950641393661499
1167~,~0.0
1281~,~1.678968906402588
76561199180479775~,~1.9167581796646118
76561198059354056~,~1.764103889465332
76561199121193370~,~1.7310293912887573
76561199161535395~,~1.1186853647232056
1231~,~0.0
76561197995876646~,~1.6543806791305542
136~,~1.7066019773483276
183~,~1.4770145416259766
76561198265104876~,~0.9045174717903137
76561198312848174~,~0.0
76561198044006022~,~1.6714277267456055
76561199186850200~,~0.0
76561198072855418~,~1.7547441720962524
76561198870563581~,~0.0
